CODE_COUNTRY,VAL
NRU,61.20165810870837
AFG,1619415.829609443
PRK,9806.940668762993
YEM,3892.7605795493046
RUS,2.1070353803574094E33
ESH,19.693046026156065
BIH,1244.6827366852913
ERI,27.988517266337226
BDI,1053.2817824090694
SDN,150509.38930275044
SEN,2573.292607163376
SOM,2819.9385427931416
LBY,1624.5777256129159
IRQ,247419.66675594554
IRN,28411.44815759657
SYR,3.0501989722182655E38
PSE,885.1188489289933
COG,168.45020202747438
CIV,49202.22268928611
ATF,2.0
TUR,4.5074883859783395E33
GMB,4175.84112337704
SGS,2.2740380317902353
