CODE_COUNTRY,ADJ_TONE,VAL
GNB,1.303549571603427,20.793483516320023
DMA,1.4714285714285715,66.82204137107405
NOR,1.4636137836526109,1099626650910.1096
NPL,1.4714858582632457,13721.792558422372
GUY,1.4018159938737556,19.22617379688391
KEN,1.387174448848858,500.0874659391918
UGA,1.3449081718190363,631.4275051693726
AND,1.8666666666666667,12.792535535377047
DOM,1.5156086631814787,57.97118600347896
NRU,1.0796019900497513,61.20165810870837
KGZ,1.4712965912711053,3856.9846481560476
ARE,1.6360710832104755,36154.2203045855
KHM,1.4607209062821833,56.24323195762006
AFG,1.2049286286504988,1619415.829609443
ATG,1.5179124281291463,172.0732011927251
KIR,1.5405405405405406,17.07054557696535
NIU,1.8518518518518519,5.074719133232735
AIA,1.7764102564102564,18.12908340451536
COM,1.7022222222222223,24.555920583212306
REU,1.7366071428571428,269.00791618581894
ALB,1.3298925637244576,1626.231461049496
KNA,1.743781094527363,13.13043098334105
ARM,1.4680626935231589,226.85600451772186
NZL,1.5293545790105267,12703.385808044932
PRK,1.2030612548762694,9806.940668762993
DZA,1.382162573767371,2266.441455918207
AGO,1.5446079903875038,107.703622977306
USA,1.4048132791335788,7.33204075935638e+68
KOR,1.348262832918625,3180619.1721380358
ARG,1.4799504150048508,101.22340081672417
ASM,1.3872340425531915,17.308860398367667
AUT,1.4405743965780629,123.59012578372902
HKG,1.4360450044071136,249.96961582962382
AUS,1.4440568988965767,1168055163360.5342
URY,1.5667870036101084,390.9262866747367
YEM,1.1024163602773052,3892.7605795493046
KWT,1.4671816787201402,535.1500684838588
UZB,1.4552887961029923,520495.76657614845
ROU,1.3518737939672976,1968.455055543861
ABW,1.5634517766497462,12.751032562796563
CYM,1.665158371040724,159.24658012774867
HND,1.3562537764350453,52.03147057012807
ECU,1.3834902060544392,1879.4697926648864
KAZ,1.3118328527343552,297.6057013090241
ALA,1.7777777777777777,931846.9994635704
EST,1.5632515632515633,262.56780940448033
AZE,1.4875496531689096,341.35745196288747
SRB,1.2944453547435688,107411366.19321471
HRV,1.4953737521305088,80.51929604566352
EGY,1.3389417922683988,9707.174902032932
RUS,1.2179782120040068,2.1070353803574094e+33
VAT,1.496292933878045,83.17569485802717
ESH,1.2352941176470589,19.693046026156065
HTI,1.4073543457497613,183.29407042840916
VCT,1.4565846599131693,98.65565009314771
HUN,1.3612503297283038,472.4560841626143
RWA,1.5203139148807727,224.80044044121018
LAO,1.5355405910961466,276.9934632291249
OMN,1.6259194167805766,290.1465405265408
LBN,1.3420310958711072,1773.9800264462751
LCA,1.5915238954012625,76.21989209737637
VEN,1.2975984844263666,200.58113190319034
BIH,1.2083963691376702,1244.6827366852913
BRB,1.5205169197974953,27.200315263563486
VGB,1.5629011553273426,13.545180686366901
BGD,1.4076281889366002,1599.884836293569
VIR,1.411275415896488,37.37957961004536
BEL,1.406695598264104,477.52053352223345
MYT,1.4366197183098592,31.895563661020827
BFA,1.3779602147142407,36.64785045149701
BGR,1.4403132403264016,317.3809246490738
ERI,1.2247390191057712,27.988517266337226
LIE,1.5625,453.17890857307157
ESP,1.5063627522156624,212.71276018813663
BHR,1.4873278679740662,8217.486946136678
SAU,1.3601829296318426,307.56561695810825
BDI,1.2316258351893097,1053.2817824090694
LKA,1.46488491894702,342.49371929948705
SLB,1.5130475302889097,21.07308930190863
ETH,1.47689722766732,682.3931468125616
BEN,1.5004195334787715,152.2834578166331
VNM,1.5909230514801427,84.56797268982481
SYC,1.7131816230141692,16.41591567311671
SDN,1.2368811776184618,150509.38930275044
SWE,1.4942492829352796,44543.898091411334
BMU,1.6230464194075112,25.661335965704133
IDN,1.3785617200049425,87226.57032957849
SGP,1.5936026936026937,752.231300116293
IRL,1.4371419252368256,277124283263235.28
BRN,1.6831805796383452,129.6004036979444
BOL,1.4297181895815543,228.9123920930247
SHN,1.6818181818181819,18.51606299594985
SVN,1.5127577056542152,11537.131206604043
LBR,1.495273348519362,36.80672112640807
SJM,1.3259493670886076,16.889040720944596
LSO,1.4346341463414634,17.685918469240747
VUT,1.6248587570621469,19.85412169042
BES,1.4657534246575343,38.2889803706065
ZAF,1.3972236709097114,1733.7202139219733
LTU,1.5098878036968277,225.17626053652447
BRA,1.3663022795955677,4.328002012222607e+23
SVK,1.4194711538461537,83.15659039421107
PAN,1.3436272878535773,13981061707.234161
BHS,1.482890499194847,37.263802264792986
LUX,1.5426384190849207,162.6464834128603
SLE,1.501065881636382,52.11723577588042
SMR,2.0,8.377793872572752
BTN,1.6388567014291233,29.875455867276635
LVA,1.4988295880149813,313.647432235312
ISR,1.2566212121212121,4.958035091346434e+25
SEN,1.2101690680436412,2573.292607163376
IMN,1.5665266106442577,20.679040693701243
SOM,1.1790791704708492,2819.9385427931416
LBY,1.1529371869782972,1624.5777256129159
BWA,1.4886266094420602,32.9229214287805
PER,1.4849335381030557,3080.2685490484705
IND,1.4162590931883752,38271235714508.336
PYF,1.6624513618677044,73.7508302233315
BLR,1.4595261389255179,138.0911335276916
SUR,1.6526104417670682,15.413427728272156
PNG,1.3400516795865633,60.96578786662234
IRQ,1.1258818759291795,247419.66675594554
PHL,1.4026782603426597,588.6533176242687
BLZ,1.4813305430113448,63.59542714151314
SSD,1.3377274565305297,281.0329518518605
STP,1.614561027837259,19.307191645174143
IRN,1.1980134860323237,28411.44815759657
ISL,1.5214220601640838,49.57289469064297
FIN,1.626894651133659,148.11609130409872
ITA,1.431192912448976,764891.2611688204
PAK,1.3562429987794886,1096.1988512464368
SLV,1.4297478778664638,88.44532751247131
