CODE_COUNTRY,ADJ_TONE,VAL
GNB,1.2097560975609756,1.2087052693471618
DMA,1.1734860883797054,1.236314363883428
NOR,1.1982910278964565,1.2401997899555812
NPL,1.1829025844930416,1.2094253847610572
GUY,1.1435132032146957,1.2138048634653997
KEN,1.17028774652441,1.2424817183606398
UGA,1.1193110907729429,1.2304279522603354
AND,1.0,1.089453553102387
DOM,1.2253313696612667,1.1869079364760642
NRU,1.0101729399796542,1.223198695288373
KGZ,1.1259049417689644,1.2181312767323293
ARE,1.2962784949189783,1.2082931152213698
KHM,1.1064662021757732,1.2164323163074466
AFG,1.069729131221475,1.2509674955572412
ATG,1.2755905511811023,1.2464152756387445
KIR,1.264367816091954,1.3854167333212144
NIU,1.3,1.3380348465966545
AIA,1.3793103448275863,1.2722468156929965
COM,1.105263157894737,1.1290854785187316
REU,1.423529411764706,1.2060956812334518
ALB,1.0963855421686748,1.242936916320703
KNA,1.2624113475177305,1.2194770150890282
ARM,1.185163027221059,1.2159391350889988
NZL,1.281415185007208,1.2466458331473431
PRK,1.0776094037671717,1.2537979757087327
DZA,1.1119402985074627,1.2048553151894208
AGO,1.1904008438818565,1.2224503415755659
USA,1.159067369908687,1.2380316914327925
KOR,1.122613272783569,1.2337562415252132
ARG,1.1630781499202552,1.2374762525303866
ASM,1.2688172043010753,1.2575877351668925
AUT,1.1527571794526088,1.2031564630910585
HKG,1.2046962736089841,1.2349275400195556
AUS,1.1979708874399577,1.2551181740287287
URY,1.3217270194986073,1.2783958053161073
YEM,1.0355020905156604,1.191655696488569
KWT,1.0983664148954857,1.2004347294376478
UZB,1.1035203903799233,1.1924367135885872
ROU,1.099075822319388,1.2385681719310908
ABW,1.2115869017632241,1.2395988368707984
CYM,1.3383620689655173,1.2633216795316786
HND,1.0707228289131565,1.2189736389735355
ECU,1.129821260583255,1.2209586182106689
KAZ,1.1466549295774648,1.2265689064924779
ALA,1.0,1.308641975308642
EST,1.374583795782464,1.2890724770774031
AZE,1.1369539551357732,1.1871805462417047
SRB,1.053740779768177,1.2062825485584279
HRV,1.1525925925925926,1.2311369178881808
EGY,1.099055042835607,1.2055934183523493
RUS,1.091598659036267,1.2665937881582559
VAT,1.2107776261937244,1.2658808717133938
ESH,1.1666666666666667,1.2050187373308308
HTI,1.1172853063913903,1.229359693605551
VCT,1.094147582697201,1.2741344734109896
HUN,1.1853440238672386,1.2216967331671724
RWA,1.184814453125,1.2241631228834036
LAO,1.1891224953114203,1.2468659841547278
OMN,1.2966442953020134,1.2278591087702597
LBN,1.1009071274298057,1.2206161796421895
LCA,1.2279909706546275,1.2362915559624823
VEN,1.093405077262693,1.213359931232322
BIH,1.0631665299425759,1.1949507552526057
BRB,1.2276736493936053,1.2457263863052734
VGB,1.1806451612903226,1.1757583008718973
BGD,1.1275938019243401,1.24561413220004
VIR,1.228615863141524,1.2375380124913389
BEL,1.1727733095025321,1.2558141863506875
MYT,1.0,1.2662163508067605
BFA,1.1559766763848396,1.2441978647078662
BGR,1.1581008321096427,1.2126684366343898
ERI,1.043598615916955,1.2657818461710701
LIE,1.0588235294117647,1.2809263077458397
ESP,1.2200621674305885,1.2313735189805044
BHR,1.078415300546448,1.1912060210782982
SAU,1.1169752484895732,1.2174009843165345
BDI,1.034072249589491,1.2385524743730412
LKA,1.175167047280724,1.2246765395324781
SLB,1.1143911439114391,1.2626941000006109
ETH,1.1651805291624031,1.2444926314110452
BEN,1.2622442653440793,1.2098402614261266
VNM,1.2735541677979907,1.2268975405526723
SYC,1.2950819672131149,1.1707099186881829
SDN,1.0579122478685798,1.1863781836708787
SWE,1.2308167043818143,1.2394880196502887
BMU,1.3206650831353919,1.270928378666224
IDN,1.1237722500282241,1.2204409820175768
SGP,1.293640309492357,1.2363008749991011
IRL,1.2075257120253164,1.2497754975806334
BRN,1.2861586314152411,1.2458449097361592
BOL,1.1555880204528852,1.2488196473905617
SHN,1.0,1.308641975308642
SVN,1.2616387337057728,1.2218652455595054
LBR,1.2336601307189543,1.2314805878710995
SJM,1.1690140845070423,1.1805674299151776
LSO,1.1180968564146134,1.2281419895390489
VUT,1.3421052631578947,1.212700474147227
BES,1.2571428571428571,1.3395173302802685
ZAF,1.1752290337993643,1.250702169888911
LTU,1.1978378378378378,1.2425774256103153
BRA,1.1478418953788412,1.2298825693318656
SVK,1.2389867841409692,1.2307051574139976
PAN,1.1495952129531855,1.2544427204249766
BHS,1.2269767441860464,1.255218420842874
