CODE_COUNTRY,VAL
KIR,1.0052433352311811
REU,1.005350531051881
KNA,1.006099331610385
CYM,1.0068106735155447
VAT,1.005332740402832
VGB,1.0065226994601286
VIR,1.004789691641422
SYC,1.0042506694981277
SGP,1.0069254520594284
BRN,1.0100024740280473
VUT,1.0062564209446743
LUX,1.0104076082421622
IMN,1.005295579246763
FLK,1.004527856473643
MCO,1.0033609046767098
WSM,1.0052102286857274
MUS,1.0151823898619858
GAB,1.007719342873584
CYP,1.0105299595322434
GLP,1.0036409800664359
NIC,1.0063101391527989
GTM,1.0052790879966862
GUM,1.0060565065844413
